orderId,customerId,item,quantity
1,1,Item 0,1
2,2,Item 1,2
3,3,Item 2,3
4,4,Item 3,4
5,5,Item 4,5
6,6,Item 5,6
7,7,Item 6,7
8,8,Item 7,8
9,9,Item 8,9
10,10,Item 9,10
11,11,Item 10,11
12,12,Item 11,12
13,13,Item 12,13
14,14,Item 13,14
15,15,Item 14,15
16,16,Item 15,16
17,17,Item 16,17
18,18,Item 17,18
19,19,Item 18,19
20,20,Item 19,20
21,21,Item 20,21
22,22,Item 21,22
23,23,Item 22,23
24,24,Item 23,24
25,25,Item 24,25
26,26,Item 25,26
27,27,Item 26,27
28,28,Item 27,28
29,29,Item 28,29
30,30,Item 29,30
31,31,Item 30,31
32,32,Item 31,32
33,33,Item 32,33
34,34,Item 33,34
35,35,Item 34,35
36,36,Item 35,36
37,37,Item 36,37
38,38,Item 37,38
39,39,Item 38,39
40,40,Item 39,40
41,41,Item 40,41
42,42,Item 41,42
43,43,Item 42,43
44,44,Item 43,44
45,45,Item 44,45
46,46,Item 45,46
47,47,Item 46,47
48,48,Item 47,48
49,49,Item 48,49
50,50,Item 49,50
51,51,Item 50,51
52,52,Item 51,52
53,53,Item 52,53
54,54,Item 53,54
55,55,Item 54,55
56,56,Item 55,56
57,57,Item 56,57
58,58,Item 57,58
59,59,Item 58,59
60,60,Item 59,60
61,61,Item 60,61
62,62,Item 61,62
63,63,Item 62,63
64,64,Item 63,64
65,65,Item 64,65
66,66,Item 65,66
67,67,Item 66,67
68,68,Item 67,68
69,69,Item 68,69
70,70,Item 69,70
71,71,Item 70,71
72,72,Item 71,72
73,73,Item 72,73
74,74,Item 73,74
75,75,Item 74,75
76,76,Item 75,76
77,77,Item 76,77
78,78,Item 77,78
79,79,Item 78,79
80,80,Item 79,80
81,81,Item 80,81
82,82,Item 81,82
83,83,Item 82,83
84,84,Item 83,84
85,85,Item 84,85
86,86,Item 85,86
87,87,Item 86,87
88,88,Item 87,88
89,89,Item 88,89
90,90,Item 89,90
91,91,Item 90,91
92,92,Item 91,92
93,93,Item 92,93
94,94,Item 93,94
95,95,Item 94,95
96,96,Item 95,96
97,97,Item 96,97
98,98,Item 97,98
99,99,Item 98,99
100,100,Item 99,100
101,101,Item 100,101
102,102,Item 101,102
103,103,Item 102,103
104,104,Item 103,104
105,105,Item 104,105
106,106,Item 105,106
107,107,Item 106,107
108,108,Item 107,108
109,109,Item 108,109
